store_name,department,category,item,description,qty_sold,sold_price,total_sales
Overall ,No data,No data,No data,No data,5784,,326407.36
 ALBROOK MALL,No data,No data,No data,No data,597,,31740.42
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,767649403752,F1 2011 3DS,1,19.99,19.99
ALBROOK MALL,ACCESORIO,NINTENDO WIIU,873124005363,Silicone procte Splatoon Wiiu ,1,19.99,19.99
ALBROOK MALL,ACCESORIO,NINTENDO WIIU,873124005509,Silicone procte Super M. Wiiu ,1,19.99,19.99
ALBROOK MALL,ACCESORIO,NINTENDO WIIU,617885001147,Super Mario Kit Wiiu,1,19.99,19.99
ALBROOK MALL,ACCESORIO,NINTENDO WIIU,873124005509,Silicone procte Super M. Wiiu ,1,19.99,19.99
ALBROOK MALL,ACCESORIO,NINTENDO 3DS,873124005394,Hard Pouch Pikachu 3DSXL NEW,1,19.99,19.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,752919992173,Megamind - PS3,1,29.99,29.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,662248916248,Ultimate Action T. Pack PS3,1,39.99,39.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO WII U,8888187684,Rabbids land Wiiu,1,29.99,29.99
ALBROOK MALL,ACCESORIO,PLAYSTATION 4 - PS4,804551664724,Thumb Grips Black PS4 - XB1,1,12.99,12.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 4- PS4,883929474110,Lego marvel avengers PS4,1,69.99,69.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 4- PS4,883929474110,Lego marvel avengers PS4,1,69.99,69.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 4- PS4,883929474110,Lego marvel avengers PS4,1,69.99,69.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO Wii,10086650358,Sonic & Sega All - Stars - Wii,1,29.99,29.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,7506127514428,Los Caballeros del Zodiaco PS3,1,39.99,39.99
ALBROOK MALL,VIDEO JUEGO,PS VITA,883929331086,Injustice Gods Among UL PSVITA,1,29.99,29.99
ALBROOK MALL,CONSOLAS,NINTENDO 3DS,45496781330,NINTENDO 3DS XL SNES,1,219.99,219.99
ALBROOK MALL,CONSOLAS,NINTENDO 3DS,45496781330,NINTENDO 3DS XL SNES,1,219.99,219.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,710425473043,GTA V PS3,1,59.99,59.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,722674111904,J-STARS VICTORY + PS3,1,59.99,59.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,722674111850,Dark Souls II PS3,1,29.99,29.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,47875846777,COD Ghost PS3,1,0.01,0.01
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,8888345343,Assassin's Creed 2 - PS3,1,0.01,0.01
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,8888345343,Assassin's Creed 2 - PS3,1,0.01,0.01
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,47875846777,COD Ghost PS3,1,0.01,0.01
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,8888345343,Assassin's Creed 2 - PS3,1,0.01,0.01
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,47875846777,COD Ghost PS3,1,0.01,0.01
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,883929241309,Mortal Kombat Komplete Ed PS3,1,39.99,39.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,816819011485,Sacred 3 PS3 ,1,49.99,49.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,883929241309,Mortal Kombat Komplete Ed PS3,1,39.99,39.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,722674110501,Dragon Ball U.Tenkaichi PS3,1,49.99,49.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,710425476556,NBA 2K16 PS3,1,69.99,69.99
ALBROOK MALL,VIDEO JUEGO,PS VITA,14633368055,Fifa 15 PSVITA ,1,39.99,39.99
ALBROOK MALL,VIDEO JUEGO,PS VITA,14633368055,Fifa 15 PSVITA ,1,39.99,39.99
