store_name,department,category,item,description,qty_sold,sold_price,total_sales
Overall ,No data,No data,No data,No data,5784,,326407.36
 ALBROOK MALL,No data,No data,No data,No data,597,,31740.42
ALBROOK MALL,CONSOLAS,NINTENDO 3DS,45496781330,NINTENDO 3DS XL SNES,1,219.99,219.99
ALBROOK MALL,CONSOLAS,NINTENDO 3DS,45496781330,NINTENDO 3DS XL SNES,1,219.99,219.99
ALBROOK MALL,CONSOLAS,NINTENDO 3DS,45496781330,NINTENDO 3DS XL SNES,1,219.99,219.99
ALBROOK MALL,CONSOLAS,NINTENDO WII U,45496881733,Nintendo Wiiu Mario Kart 8 DL,1,369.99,369.99
ALBROOK MALL,CONSOLAS,NINTENDO WII U,45496881733,Nintendo Wiiu Mario Kart 8 DL,1,369.99,369.99
ALBROOK MALL,CONSOLAS,PLAYSTATION 3 - PS3,711719050537,PS3 Ultraslim The last 500 GB,1,299.99,299.99
ALBROOK MALL,CONSOLAS,PLAYSTATION 3 - PS3,711719050537,PS3 Ultraslim The last 500 GB,1,299.99,299.99
ALBROOK MALL,CONSOLAS,PLAYSTATION 3 - PS3,711719050537,PS3 Ultraslim The last 500 GB,1,299.99,299.99
ALBROOK MALL,CONSOLAS,PLAYSTATION 3 - PS3,711719050537,PS3 Ultraslim The last 500 GB,1,299.99,299.99
ALBROOK MALL,CONSOLAS,PLAYSTATION 3 - PS3,711719992097,PS3 Ultraslim 250 GB,1,279.99,279.99
ALBROOK MALL,CONSOLAS,PS VITA,711719050681,PS Vita 2.0 Borderland 2,1,249.99,249.99
ALBROOK MALL,CONSOLAS,PS VITA,711719050681,PS Vita 2.0 Borderland 2,1,249.99,249.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,883929474189,Lego marvel avengers 3DS,-1,39.99,-39.99
ALBROOK MALL,ACCESORIO,TARJETAS,799366552260,PSN $50,3,69.99,209.97
ALBROOK MALL,CONSOLAS,NINTENDO 3DS,45496781866,NINTENDO NEW 3DSXL Hyrule edit,1,259.99,259.99
ALBROOK MALL,CONSOLAS,NINTENDO 3DS,45496781866,NINTENDO NEW 3DSXL Hyrule edit,1,259.99,259.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,14633735444,Fifa 16 PS3,-1,59.99,-59.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 4- PS4,728658046514,RB Software + Guitar PS4,1,169.99,169.99
ALBROOK MALL,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,449.99,449.99
ALBROOK MALL,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,449.99,449.99
ALBROOK MALL,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,499.99,499.99
ALBROOK MALL,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,499.99,499.99
ALBROOK MALL,CONSOLAS,PLAYSTATION 4 - PS4,711719502104,PS4 God of War Bundle,1,499.99,499.99
 CHIRIQUI,No data,No data,No data,No data,363,,19666.43
CHIRIQUI,CONSOLAS,PLAYSTATION 3 - PS3,711719990819,PS3 Ultraslim 500 GB,1,299.99,299.99
CHIRIQUI,CONSOLAS,NINTENDO 3DS,45496780586,Nintendo 3DSXL  Azul/ Negro,1,149.99,149.99
CHIRIQUI,VIDEO JUEGO,PLAYSTATION 4- PS4,14633735529,Fifa 16 Deluxe Edition PS4,-1,69.99,-69.99
CHIRIQUI,CONSOLAS,NINTENDO 3DS,45496780586,Nintendo 3DSXL  Azul/ Negro,-1,149.99,-149.99
CHIRIQUI,CONSOLAS,NINTENDO WII U,45496881733,Nintendo Wiiu Mario Kart 8 DL,1,369.99,369.99
CHIRIQUI,CONSOLAS,NINTENDO WII U,45496881733,Nintendo Wiiu Mario Kart 8 DL,1,369.99,369.99
CHIRIQUI,CONSOLAS,PS VITA,711719050681,PS Vita 2.0 Borderland 2,1,249.99,249.99
CHIRIQUI,CONSOLAS,XBOX ONE,885370982343,Xbox One Gear Of War 500 GB,1,429.99,429.99
CHIRIQUI,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,710425473043,GTA V PS3,-1,69.99,-69.99
CHIRIQUI,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,722674110501,Dragon Ball U.Tenkaichi PS3,-1,59.99,-59.99
CHIRIQUI,CONSOLAS,NINTENDO 3DS,45496781866,NINTENDO NEW 3DSXL Hyrule edit,1,259.99,259.99
