store_name,department,category,item,description,qty_sold,sold_price,total_sales
Overall ,No data,No data,No data,No data,5784,,326407.36
 ALBROOK MALL,No data,No data,No data,No data,597,,31740.42
 CHIRIQUI,No data,No data,No data,No data,363,,19666.43
 GM EL GORILA,No data,No data,No data,No data,364,,25588.16
 GM EL TIGRE,No data,No data,No data,No data,797,,47100.76
 METRO MALL,No data,No data,No data,No data,976,,52402.88
 MULTI CENTRO,No data,No data,No data,No data,302,,16946.11
 MULTI PLAZA,No data,No data,No data,No data,1523,,87518.78
 S13,No data,No data,No data,No data,295,,14506.14
 WESTLAND MALL,No data,No data,No data,No data,239,,14117.76
